,region,sales_price,bedroom,bathroom,parking,dimensions
349,"Perdizes, Sao Paulo",3000000,4,0,5,170
350,"Água  Branca, Sao Paulo",1500000,3,2,2,129
351,"Pompéia, Sao Paulo",695000,3,2,2,75
352,"Perdizes, Sao Paulo",1470000,4,4,4,200
353,"Brooklin, Sao Paulo",960000,3,4,2,130
354,"Vila  Santa  Catarina, Sao Paulo",359000,2,1,2,58
355,"Chácara  Santo  Antônio, Sao Paulo",1600000,3,2,2,167
356,"Jardim  Colombo, Sao Paulo",270000,2,2,2,49
357,"Itaim  Bibi, Sao Paulo",1280000,3,1,2,98
358,"Vila  Suzana, Sao Paulo",550000,3,5,3,200
359,"Vila  Anastácio, Sao Paulo",974900,3,4,2,134
360,"Aclimação, Sao Paulo",360000,2,2,2,80
361,"Aclimação, Sao Paulo",390000,0,2,2,67
362,"Jardins, Sao Paulo",535000,1,1,2,41
363,"Água  Branca, Sao Paulo",187990,1,1,2,27
364,"Moema, Sao Paulo",4000000,4,0,5,300
365,"Morumbi, Sao Paulo",215000,1,1,5,35
366,"Moema, Sao Paulo",1101000,2,3,2,106
367,"Chácara  Inglesa, Sao Paulo",1015000,3,3,2,110
368,"Jardim  Avelino, Sao Paulo",2150000,3,5,4,300
369,"Vila  Olímpia, Sao Paulo",750000,3,2,4,96
370,"Campo  Belo, Sao Paulo",1750000,4,3,3,169
371,"Brooklin, Sao Paulo",555000,2,2,3,65
372,"Vila  Andrade, Sao Paulo",265000,1,1,3,55
373,"Santa  Cecília, Sao Paulo",295000,0,1,3,50
374,"Vila  Ester   Zona  Norte, Sao Paulo",1480000,4,4,2,132
375,"Jardim  Marajoara, Sao Paulo",385000,3,1,2,60
376,"Alto  da  Lapa, Sao Paulo",1300000,3,2,3,120
377,"Brooklin, Sao Paulo",690000,1,1,3,51
378,"Jabaquara, Sao Paulo",450000,2,1,3,62
379,"Chácara  Inglesa, Sao Paulo",280000,0,1,3,28
380,"Parque  São  Jorge, Sao Paulo",936836,4,1,2,135
381,"Vila  Ipojuca, Sao Paulo",716437,2,3,2,69
382,"Jardim  da  Glória, Sao Paulo",589000,2,2,2,88
383,"Moema, Sao Paulo",529000,1,1,2,46
384,"Vila  Nova  Conceição, Sao Paulo",950000,3,1,2,91
385,"Vila  Regente  Feijó, Sao Paulo",2500000,3,7,4,360
386,"Pinheiros, Sao Paulo",2140000,2,4,3,153
387,"Indianópolis, Sao Paulo",6300000,3,1,5,288
388,"Chácara  Santo  Antônio, Sao Paulo",530000,2,1,5,45
389,"Jardim  Arpoador, Sao Paulo",530000,2,3,2,91
390,"Vila  Leopoldina, Sao Paulo",2900000,3,4,4,254
391,"Vila  Nova  Conceição, Sao Paulo",2925000,3,4,2,156
392,"Paraíso, Sao Paulo",2200000,4,4,3,145
393,"Vila  Romana, Sao Paulo",1805000,3,1,3,172
394,"Santa  Teresinha, Sao Paulo",950000,3,2,2,95
395,"Pompéia, Sao Paulo",768000,3,2,2,72
396,"Jardim  Paulista, Sao Paulo",1300000,2,3,2,97
397,"Santa  Teresinha, Sao Paulo",1499000,3,5,3,143
398,"Brooklin, Sao Paulo",590000,2,1,3,54
399,"Jabaquara, Sao Paulo",533000,3,1,2,73
400,"Itaim  Bibi, Sao Paulo",1800000,3,3,2,150
401,"Vila  Clementino, Sao Paulo",650000,2,3,2,74
402,"Vila  Mariana, Sao Paulo",2700000,4,5,3,292
403,"Vila  Nova  Conceição, Sao Paulo",775000,2,1,2,55
404,"Higienópolis, Sao Paulo",1850000,3,3,2,140
405,"Jardim  Paulista, Sao Paulo",3390001,3,3,2,226
406,"Vila  Mariana, Sao Paulo",700000,3,4,2,97
407,"Vila  Guaca, Sao Paulo",249000,2,1,2,44
408,"Moema, Sao Paulo",655000,1,1,2,39
409,"Vila  Olímpia, Sao Paulo",640000,2,2,2,68
410,"Higienópolis, Sao Paulo",1800000,4,1,2,200
411,"Jardim  das  Perdizes, Sao Paulo",1550000,3,2,2,108
412,"Jardim  Ester, Sao Paulo",270000,2,1,2,70
413,"Paraíso, Sao Paulo",175000,0,1,2,26
414,"Vila  Monte  Alegre, Sao Paulo",395000,2,1,2,60
415,"Sumaré, Sao Paulo",800000,0,1,2,78
416,"Brooklin, Sao Paulo",700000,0,1,2,86
417,"Vila  Gertrudes, Sao Paulo",1304343,3,5,2,130
418,"Casa  Verde, Sao Paulo",3490000,4,6,4,500
419,"Santa  Cecília, Sao Paulo",1740000,3,3,2,208
420,"Santana, Sao Paulo",650000,3,3,2,95
421,"Santa  Cecília, Sao Paulo",560000,0,1,2,83
422,"Chácara  Santo  Antônio, Sao Paulo",1970000,3,4,3,155
423,"Higienópolis, Sao Paulo",2200000,3,5,4,241
424,"Mooca, Sao Paulo",1420000,2,4,2,133
425,"Centro, Sao Paulo",92500,0,0,2,133
426,"Bela  Vista, Sao Paulo",310000,1,1,2,21
427,"Vila  Mariana, Sao Paulo",285000,1,1,2,23
428,"Lapa, Sao Paulo",2350000,4,7,3,400
429,"Perdizes, Sao Paulo",3532657,4,6,4,280
430,"Centro, Sao Paulo",2490000,4,4,2,250
431,"Santa  Cecília, Sao Paulo",365000,0,1,2,44
432,"Santo  Amaro, Sao Paulo",1984240,3,5,3,189
433,"Vila  Olímpia, Sao Paulo",450000,2,1,3,40
434,"Higienópolis, Sao Paulo",2650000,4,3,2,851
435,"Higienópolis, Sao Paulo",3000000,3,4,2,275
436,"Vila  Mariana, Sao Paulo",1810000,3,4,3,213
437,"Planalto  Paulista, Sao Paulo",960000,2,1,3,89
438,"Vila  Cordeiro, Sao Paulo",2447000,3,4,3,175
439,"Tatuapé, Sao Paulo",275000,2,1,3,44
440,"Perdizes, Sao Paulo",958000,3,1,2,98
441,"Jardim  Paulista, Sao Paulo",2000000,4,4,2,170
442,"Jabaquara, Sao Paulo",395000,2,1,2,54
443,"Várzea  da  Barra  Funda, Sao Paulo",426000,2,1,2,51
444,"Vila  Prudente, Sao Paulo",430000,2,1,2,63
445,"Vila  Mascote, Sao Paulo",1400000,3,5,3,154
446,"Vila  Suzana, Sao Paulo",1039900,3,4,3,175
447,"Santa  Cecília, Sao Paulo",470000,2,1,3,102
448,"Ipiranga, Sao Paulo",957447,0,2,2,108
449,"Moema, Sao Paulo",950000,0,2,2,100
450,"Vila  Andrade, Sao Paulo",760000,3,4,2,124
451,"Vila  Romana, Sao Paulo",1320000,4,3,2,132
452,"Jardins, Sao Paulo",265000,1,1,2,30
453,"Santana, Sao Paulo",1950000,4,5,4,203
454,"Bela  Vista, Sao Paulo",360000,0,1,4,61
455,"Água  Branca, Sao Paulo",196670,1,1,4,31
456,"Ibirapuera, Sao Paulo",8110000,0,6,5,379
457,"Jardim  Taquaral, Sao Paulo",220000,2,1,5,60
