,Unnamed: 0,region,sales_price,bedroom,bathroom,parking,dimensions,latitude,longitude,mean_price,std_price,price_meter,average
121,145,"Vila Suzana, Sao Paulo",1003000,3,4,4,212,-23.1691829,-46.9136887,46056070.5771429,221509020.65101,4731.1320754717,5527.6066227255
122,146,"Cerqueira Cesar, Sao Paulo",2226000,3,3,2,118,-23.0353135,-49.1650519,1463063.91869919,1615825.14221879,18864.406779661,12687.7694407495
123,147,"Perdizes, Sao Paulo",1450000,4,3,2,156,-23.5379295,-46.680670510854,1407561.56599789,909665.465898378,9294.87179487179,9409.53370787521
124,148,"Jardim Paulista, Sao Paulo",2000000,3,4,2,183,-23.5674355,-46.6636917206251,4304926.06760204,66042742.7032011,10928.9617486339,12319.3530995925
125,149,"Belenzinho, Sao Paulo",1290000,3,4,2,149,-23.4736106,-46.5991147,1097904.76190476,586005.025982022,8657.71812080537,7820.63491196883
126,150,"Tatuape, Sao Paulo",2450000,4,3,4,257,-23.5402524,-46.5766424,4271430.15463918,55348723.6114065,9533.07392996109,8044.85396350019
127,151,"Vila Mascote, Sao Paulo",1100000,4,4,3,210,-23.6453648,-46.6710776663326,857119.747252747,624265.245162966,5238.09523809524,7717.83652050937
128,152,"Moema, Sao Paulo",650000,2,2,3,64,-23.59458475,-46.6618011333378,1703423.09970458,1595995.23534446,10156.25,11915.5734933051
129,153,"Jardim Umuarama, Sao Paulo",560000,3,1,2,72,-20.4316527,-49.981699,498812.4375,208316.822032521,7777.77777777778,6209.80939197471
130,154,"Pinheiros, Sao Paulo",1700000,2,2,2,128,-23.567249,-46.7019515,9498833.46488294,133935791.599595,13281.25,11657.2479284877
131,155,"Vila Matilde, Sao Paulo",250000,2,1,2,43,-23.541212,-46.5156198234134,31963838.4615385,111291085.910946,5813.95348837209,6460.66806933445
132,156,"Santana, Sao Paulo",640000,2,1,2,70,-23.499321,-46.6289326497014,995109.141914191,652917.387651109,9142.85714285714,7476.04391313302
133,157,"Vila Olimpia, Sao Paulo",450000,2,1,2,40,-23.5940278,-46.6842193,1514912.16589862,2456756.82047168,11250.0,17165.5774083761
134,158,"Vila Mascote, Sao Paulo",788000,3,3,2,87,-23.6453648,-46.6710776663326,857119.747252747,624265.245162966,9057.47126436782,7717.83652050937
135,159,"Perdizes, Sao Paulo",2350000,3,5,4,190,-23.5379295,-46.680670510854,1407561.56599789,909665.465898378,12368.4210526316,9409.53370787521
136,160,"Cambuci, Sao Paulo",285000,0,1,4,36,-23.5661285,-46.6136503087109,457189.062222222,258552.543348121,7916.66666666667,6824.35402782199
137,161,"Parque Residencial da Lapa, Sao Paulo",390000,2,1,4,70,-23.5242535,-46.7033812110629,357874.181818182,33584.3673807269,5571.42857142857,5539.92629240273
138,162,"Pompeia, Sao Paulo",1250000,4,1,2,129,-22.1088293,-50.1720753,957891.180257511,490757.041916436,9689.92248062015,9587.72284680743
139,163,"Consolacao, Sao Paulo",700000,0,2,2,99,-23.5578872,-46.6603212,765623.320987654,684419.762554424,7070.70707070707,10559.6070520883
140,164,"Pinheiros, Sao Paulo",480000,1,0,2,52,-23.567249,-46.7019515,9498833.46488294,133935791.599595,9230.76923076923,11657.2479284877
141,166,"Barra Funda, Sao Paulo",198900,1,1,3,31,-23.5254616,-46.6675134,682101.714285714,342135.47445999,6416.12903225806,8351.14093307938
142,168,"Mooca, Sao Paulo",399000,2,1,3,50,-23.5617305,-46.5971404231074,643342.642512077,438909.920585585,7980.0,6811.66160035022
143,169,"Perdizes, Sao Paulo",500000,4,4,2,160,-23.5379295,-46.680670510854,1407561.56599789,909665.465898378,3125.0,9409.53370787521
144,170,"Perdizes, Sao Paulo",2099000,4,2,2,236,-23.5379295,-46.680670510854,1407561.56599789,909665.465898378,8894.06779661017,9409.53370787521
145,172,"Perdizes, Sao Paulo",750000,3,3,2,82,-23.5379295,-46.680670510854,1407561.56599789,909665.465898378,9146.34146341463,9409.53370787521
146,173,"Bom Retiro, Sao Paulo",470000,3,2,2,61,-23.5271385,-46.6368348465014,579380.952380952,382912.245845485,7704.91803278689,5030.96930378465
147,174,"Jabaquara, Sao Paulo",345000,2,1,2,56,-23.6520656,-46.650037329077,370920.879120879,138901.045925575,6160.71428571429,6123.13967341241
148,175,"Pinheiros, Sao Paulo",810000,1,1,2,50,-23.567249,-46.7019515,9498833.46488294,133935791.599595,16200.0,11657.2479284877
149,176,"Vila Andrade, Sao Paulo",1150000,4,1,4,190,-23.62819865,-46.7289985764111,692110.807291667,418911.514483648,6052.63157894737,6215.97285670845
150,177,"Santa Cecilia, Sao Paulo",1550000,3,1,4,177,-23.5296595,-46.6518917695503,1173729.53753754,1078726.70778865,8757.06214689265,8720.40445666074
151,178,"Consolacao, Sao Paulo",376000,1,1,4,40,-23.5578872,-46.6603212,765623.320987654,684419.762554424,9400.0,10559.6070520883
152,179,"Jaguare, Sao Paulo",245000,2,1,4,72,-23.5420355,-46.749499250258,413324.9875,156665.465431515,3402.77777777778,5973.71904200644
153,180,"Paraiso, Sao Paulo",600000,2,2,4,72,-21.015911,-48.776105,1902170.73076923,2255836.20716688,8333.33333333333,10680.1024605127
154,181,"Barra Funda, Sao Paulo",580000,2,1,4,62,-23.5254616,-46.6675134,682101.714285714,342135.47445999,9354.83870967742,8351.14093307938
155,182,"Vila Mariana, Sao Paulo",970000,3,2,4,78,-23.5837,-46.6327408242069,3831617.27837838,57698436.8535569,12435.8974358974,10752.8909823284
